AGS,Kreis,Kreis_WP,KreisSitz,KreisSitz_WP,Einwohner,Fläche,Karte
05334,Aachen,/wiki/St%C3%A4dteregion_Aachen,Aachen,/wiki/Aachen,557026,706.95,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/North_rhine_w_AC_region.svg/60px-North_rhine_w_AC_region.svg.png
07131,Ahrweiler,/wiki/Landkreis_Ahrweiler,Bad Neuenahr-Ahrweiler,/wiki/Bad_Neuenahr-Ahrweiler,130086,786.98,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Rhineland-Palatinate_AW.svg/56px-Rhineland-Palatinate_AW.svg.png
09771,Aichach-Friedberg,/wiki/Landkreis_Aichach-Friedberg,Aichach,/wiki/Aichach,134655,780.33,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Bavaria_AIC.svg/60px-Bavaria_AIC.svg.png
08425,Alb-Donau-Kreis,/wiki/Alb-Donau-Kreis,Ulm,/wiki/Ulm,197076,1358.68,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Baden-W%C3%BCrttemberg_UL_%28district%29.svg/55px-Baden-W%C3%BCrttemberg_UL_%28district%29.svg.png
16077,Altenburger Land,/wiki/Landkreis_Altenburger_Land,Altenburg,/wiki/Altenburg,89393,569.39,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Thuringia_ABG.svg/77px-Thuringia_ABG.svg.png
07132,Altenkirchen (Westerwald),/wiki/Landkreis_Altenkirchen_(Westerwald),Altenkirchen (Westerwald),/wiki/Altenkirchen_(Westerwald),128805,641.99,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Rhineland-Palatinate_AK.svg/56px-Rhineland-Palatinate_AK.svg.png
15081,Altmarkkreis Salzwedel,/wiki/Altmarkkreis_Salzwedel,Salzwedel,/wiki/Salzwedel,83173,2293.03,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Saxony-Anhalt_SAW.svg/45px-Saxony-Anhalt_SAW.svg.png
09171,Altötting,/wiki/Landkreis_Alt%C3%B6tting,Altötting,/wiki/Alt%C3%B6tting,111516,569.35,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Bavaria_A%C3%96.svg/60px-Bavaria_A%C3%96.svg.png
07331,Alzey-Worms,/wiki/Landkreis_Alzey-Worms,Alzey,/wiki/Alzey,129687,588.15,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rhineland-Palatinate_AZ.svg/56px-Rhineland-Palatinate_AZ.svg.png
09371,Amberg-Sulzbach,/wiki/Landkreis_Amberg-Sulzbach,Amberg,/wiki/Amberg,103049,1255.75,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Bavaria_AS.svg/60px-Bavaria_AS.svg.png
03451,Ammerland,/wiki/Landkreis_Ammerland,Westerstede,/wiki/Westerstede,124859,728.38,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Lower_Saxony_WST.svg/71px-Lower_Saxony_WST.svg.png
15082,Anhalt-Bitterfeld,/wiki/Landkreis_Anhalt-Bitterfeld,Köthen,/wiki/K%C3%B6then_(Anhalt),158486,1453.52,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Saxony-Anhalt_ABI.svg/45px-Saxony-Anhalt_ABI.svg.png
09571,Ansbach,/wiki/Landkreis_Ansbach,Ansbach,/wiki/Ansbach,184591,1971.84,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bavaria_AN_%28district%29.svg/60px-Bavaria_AN_%28district%29.svg.png
09671,Aschaffenburg,/wiki/Landkreis_Aschaffenburg,Aschaffenburg,/wiki/Aschaffenburg,174200,699.15,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bavaria_AB_%28district%29.svg/60px-Bavaria_AB_%28district%29.svg.png
09772,Augsburg,/wiki/Landkreis_Augsburg,Augsburg,/wiki/Augsburg,253468,1071.13,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Bavaria_A_%28district%29.svg/60px-Bavaria_A_%28district%29.svg.png
03452,Aurich,/wiki/Landkreis_Aurich,Aurich,/wiki/Aurich,189694,1287.31,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lower_Saxony_AUR.svg/71px-Lower_Saxony_AUR.svg.png
